"missingExerciseId","missingExerciseName","candidateExerciseId","candidateExerciseName","confidence","reason","matchedBy","sourceImageUrls","wouldApply","applied","notes"
"66","Shoulder press manubri","400","Dumbbell Shoulder Press","high","alias esplicito; muscolo principale compatibile; attrezzatura compatibile; categoria compatibile","alias","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Dumbbell_Shoulder_Press/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Dumbbell_Shoulder_Press/1.jpg","true","true","primary ok; equipment ok; category ok; movement no; score=1"
"67","Military press","911","Standing Military Press","medium","muscolo principale compatibile; attrezzatura compatibile; categoria compatibile","normalized","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Standing_Military_Press/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Standing_Military_Press/1.jpg","true","true","primary ok; equipment ok; category ok; movement no; score=0.6133; medium approvato manualmente"
"68","Alzate laterali ai cavi","16","Alzate laterali manubri","low","link in alternatives; muscolo principale compatibile; categoria compatibile; movimento compatibile","alias","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Side_Lateral_Raise/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Side_Lateral_Raise/1.jpg","false","false","primary ok; equipment no; category ok; movement ok; score=0.608"
"69","Alzate laterali macchina","16","Alzate laterali manubri","low","link in alternatives; muscolo principale compatibile; categoria compatibile; movimento compatibile","alias","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Side_Lateral_Raise/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Side_Lateral_Raise/1.jpg","false","false","primary ok; equipment no; category ok; movement ok; score=0.64"
"70","Alzate frontali","16","Alzate laterali manubri","low","muscolo principale compatibile; attrezzatura compatibile; categoria compatibile","metadata","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Side_Lateral_Raise/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Side_Lateral_Raise/1.jpg","false","false","primary ok; equipment ok; category ok; movement no; score=0.48"
"71","Reverse fly manubri","21","Face pull","none","link in alternatives; muscolo principale compatibile; categoria compatibile; movimento compatibile","alias","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Face_Pull/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Face_Pull/1.jpg","false","false","primary ok; equipment no; category ok; movement ok; score=0.48"
"72","Rear delt fly ai cavi","21","Face pull","none","link in alternatives; muscolo principale compatibile; attrezzatura compatibile; categoria compatibile; movimento compatibile","alias","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Face_Pull/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Face_Pull/1.jpg","false","false","primary ok; equipment ok; category ok; movement ok; score=0.64"
"74","Tirate al mento","976","Upright Barbell Row","low","muscolo principale compatibile; attrezzatura compatibile; categoria compatibile","normalized","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Upright_Barbell_Row/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Upright_Barbell_Row/1.jpg","false","false","primary ok; equipment ok; category ok; movement no; score=0.528"
"75","Extrarotazioni al cavo","21","Face pull","none","link in alternatives; attrezzatura compatibile","alias","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Face_Pull/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Face_Pull/1.jpg","false","false","primary no; equipment ok; category no; movement no; score=0.28"
"76","Extrarotazioni con elastico","149","Band pull-apart","none","link in alternatives; attrezzatura compatibile; categoria compatibile","alias","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Band_Pull_Apart/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Band_Pull_Apart/1.jpg","false","false","primary no; equipment ok; category ok; movement no; score=0.44"
"77","Landmine press","325","Clean and Press","none","muscolo principale compatibile; attrezzatura compatibile; categoria compatibile","metadata","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Clean_and_Press/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Clean_and_Press/1.jpg","false","false","primary ok; equipment ok; category ok; movement no; score=0.5067"
"79","Squat bilanciere","224","Barbell Squat","high","alias esplicito; muscolo principale compatibile; attrezzatura compatibile; categoria compatibile","alias","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Barbell_Squat/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Barbell_Squat/1.jpg","true","true","primary ok; equipment ok; category ok; movement no; score=1"
"80","Front squat","440","Front Barbell Squat","high","alias esplicito; muscolo principale compatibile; attrezzatura compatibile; categoria compatibile","alias","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Front_Barbell_Squat/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Front_Barbell_Squat/1.jpg","true","true","primary ok; equipment ok; category ok; movement no; score=1"
